Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
ESP32 DEVKIT1,ESP32 Devkit,ESP32 Devkit1,92.285mm,-5.18mm,100.457mm,-1.27mm,105.283mm,20.32mm,36,B,270,No,ESP32 DEVKIT1
OLED1,OLED 0.96,OLED_0.96_Footprint,92.329mm,26.289mm,79.629mm,27.686mm,88.519mm,26.289mm,4,T,0,No,OLED 0.96
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,85.089mm,-14.791mm,85.089mm,-14.791mm,82.089mm,-12.916mm,4,T,0,Yes,TS-1187A-B-A-B
SW2,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,92.589mm,-14.791mm,92.589mm,-14.791mm,89.589mm,-12.916mm,4,T,0,Yes,TS-1187A-B-A-B
SW3,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,100.089mm,-14.791mm,100.089mm,-14.791mm,97.089mm,-12.916mm,4,T,0,Yes,TS-1187A-B-A-B
SW4,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,92.583mm,-8.89mm,92.583mm,-8.89mm,89.583mm,-7.015mm,4,T,0,Yes,TS-1187A-B-A-B
SW5,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,92.589mm,-20.646mm,92.589mm,-20.646mm,89.589mm,-18.771mm,4,T,0,Yes,TS-1187A-B-A-B
